,Year,Period,WA,NT,VIC,NSW,SA,QLD,ENSO,SAM,IOD
58,2011,OCT,320.0163333333333,,194.012864321608,406.70116,260.9905882352941,303.4845263157895,-1.0,-0.8700000000000001,0.298
57,2011,NOV,436.87601307189544,,369.71163904,699.30264,367.84408163265306,341.79220689655176,-1.1,0.87,0.1879999999999999
50,2011,DEC,504.2344525547445,,610.7461752800001,852.11056,510.73541666666665,402.2607368421053,-1.0,1.7,0.0846666666666666
64,2012,JAN,611.121911764706,,647.60835356,858.42728,605.2134146341464,421.1034146341464,-0.9,1.66,-0.0533333333333333
63,2012,FEB,388.8317441860465,,619.41587444,813.39172,525.4021212121213,321.7269512195122,-0.7,0.6766666666666664,-0.002
67,2012,MAR,288.4000952380953,,437.4872998,451.08592,326.62114285714284,262.20689956331876,-0.6,0.3766666666666666,-0.1076666666666666
60,2012,APR,282.44836734693877,,102.60085585585584,226.60207556000003,232.08500000000004,243.20068,-0.5,1.0433333333333332,-0.205
68,2012,MAY,172.3358823529412,,70.1198245614035,192.1050887573965,231.37722222222223,213.53954166666665,-0.3,1.37,-0.2133333333333333
66,2012,JUN,172.44,,47.3815625,152.164375,178.12,151.09038759689923,0.0,1.7033333333333334,0.059
65,2012,JUL,103.62666666666668,,39.58953488372094,126.93657407407407,52.56,161.48670807453416,0.2,1.9933333333333336,0.3996666666666666
61,2012,AUG,175.25411764705882,,48.05333333333333,146.5011464968153,52.56,200.83440909090908,0.4,1.5366666666666668,0.5503333333333335
71,2012,SEP,275.3827058823529,,92.59754901960784,237.36433496,245.83,346.44248,0.4,0.7533333333333333,0.4049999999999999
70,2012,OCT,361.5004065040651,,191.71883999999997,519.4741572,389.58372549019606,364.2456,0.3,0.0266666666666666,0.1543333333333333
69,2012,NOV,442.4206153846154,,340.35627628,673.4640400000001,417.50558823529406,379.99893617021274,0.1,-0.3033333333333333,0.0926666666666666
62,2012,DEC,517.6293113475177,,549.27352,781.1527199999999,446.7045945945946,540.9453846153846,-0.2,-0.3433333333333333,0.0343333333333333
76,2013,JAN,501.1409103703704,,608.05012,807.6578,547.243,571.8305,-0.4,0.8833333333333333,0.1306666666666666
75,2013,FEB,323.900513592233,,601.0517199999999,755.38304,480.70418181818184,295.00627118644064,-0.4,1.9533333333333331,0.069
79,2013,MAR,281.7,,485.76288,572.5128000000001,420.09490196078434,238.48897727272723,-0.3,1.6933333333333334,-0.0083333333333333
72,2013,APR,184.01220588235296,,218.6278,277.70615999999995,295.1975862068965,233.85105990783413,-0.3,1.04,-0.24
80,2013,MAY,160.82933333333338,,89.56201086956521,203.21791666666664,137.50571428571428,221.07193877551023,-0.4,0.3466666666666667,-0.4333333333333333
78,2013,JUN,111.03166666666664,,42.073974358974354,176.07880597014926,93.32,184.9721551724138,-0.4,0.7600000000000001,-0.3943333333333333
77,2013,JUL,75.202,,42.73803738317757,163.74655172413793,,193.9335465116279,-0.4,-0.6166666666666666,-0.2903333333333333
73,2013,AUG,172.7422222222222,,71.92146153846153,173.4733280235294,,287.36480000000006,-0.3,-1.6000000000000003,-0.2279999999999999
83,2013,SEP,258.1964788732394,,102.7040718562874,227.565463056,148.29,418.48505024,-0.3,-2.4533333333333336,-0.224
82,2013,OCT,318.3196875,,231.03328818181816,570.8839116799999,458.1376923076925,438.25405024,-0.2,-1.0133333333333334,-0.093
81,2013,NOV,494.74369942196535,,413.24603089068825,779.5168000000001,498.9572,427.27096212,-0.2,0.15,0.0573333333333333
74,2013,DEC,627.5851304347825,,640.7906488,853.86088,519.4825490196077,522.1606587671233,-0.3,0.57,0.0796666666666666
88,2014,JAN,629.7909090909089,,680.43676,854.6311599999999,571.9898913043478,488.01637640624995,-0.4,0.3333333333333333,-0.0163333333333333
87,2014,FEB,361.91411111111114,198.75,644.7867288,758.11656,529.5473,370.7023008849558,-0.5,0.5233333333333333,-0.1136666666666666
91,2014,MAR,315.915462962963,198.75,514.0679200000001,535.7879828800001,457.2317857142857,284.1556,-0.3,0.96,-0.0993333333333333
84,2014,APR,235.1863157894737,198.75,208.98978792799997,265.33775933609957,294.64464285714286,253.47276,0.0,0.2999999999999999,-0.1003333333333333
92,2014,MAY,200.90222222222224,,74.37092555405404,153.91933962264153,93.09999999999998,194.45411522633745,0.2,-0.2166666666666667,-0.0593333333333333
90,2014,JUN,104.98,,42.251428571428576,130.20625,,136.83549019607844,0.2,-0.3833333333333333,-0.161
89,2014,JUL,90.915,,62.12384615384616,162.90999999999997,201.88,194.7424637681159,0.0,0.8133333333333334,-0.2543333333333333
85,2014,AUG,107.42,,78.3792039800995,237.273687150838,190.08,253.56345492,0.1,0.3433333333333332,-0.2933333333333333
95,2014,SEP,202.65277777777777,,95.87232,272.27833212,273.8042857142857,440.11773844,0.2,0.5566666666666666,-0.1253333333333333
94,2014,OCT,359.5223170731707,,211.468171412,495.91317212,364.3891891891891,462.57177844,0.5,0.0166666666666665,0.0019999999999999
93,2014,NOV,423.12129032258065,,436.12373044,680.985416,455.7543661971832,458.88165844,0.6,1.3733333333333333,0.0656666666666666
86,2014,DEC,453.1741071428572,,580.62161808,800.614,506.17304347826087,517.2129629629629,0.7,1.3833333333333335,-0.0146666666666666
100,2015,JAN,465.48704918032786,,601.35469572,825.8706400000001,531.4323809523809,526.566535,0.5,2.9066666666666667,-0.1329999999999999
99,2015,FEB,362.76648,,540.68180936,766.82423336,499.2465,358.1227070833333,0.5,2.3833333333333333,-0.2286666666666666
103,2015,MAR,305.13173913043477,,411.9698522000001,593.5707133599999,370.51368421052626,239.13791063291137,0.5,2.61,-0.1979999999999999
96,2015,APR,284.3896946564886,,183.3582,277.70688748000003,268.126111111111,214.15895793548387,0.7,1.106666666666667,-0.003
104,2015,MAY,222.3575438596491,,110.15,178.86374149659864,156.54375,159.4858928571429,0.9,1.6166666666666671,0.176
