Year,Period,ENSO,SAM,IOD,Date
2016,JUL,-0.4,1.0633333333333335,-0.5483333333333333,2016-07-01
2016,AUG,-0.5,0.6633333333333332,-0.5463333333333333,2016-08-01
2016,SEP,-0.6,0.09666666666666657,-0.4176666666666667,2016-09-01
2016,OCT,-0.7,-0.5166666666666667,-0.397,2016-10-01
2016,NOV,-0.7,-1.843333333333333,-0.3546666666666667,2016-11-01
2016,DEC,-0.6,-1.92,-0.25933333333333336,2016-12-01
2017,JAN,-0.3,-1.2433333333333334,-0.09833333333333333,2017-01-01
2017,FEB,-0.2,-1.2566666666666668,0.124,2017-02-01
2017,MAR,0.1,-0.3333333333333334,0.319,2017-03-01
2017,APR,0.2,0.6366666666666666,0.46399999999999997,2017-04-01
2017,MAY,0.3,1.8166666666666664,0.48633333333333334,2017-05-01
2017,JUN,0.3,1.32,0.49333333333333335,2017-06-01
2017,JUL,0.1,0.8166666666666668,0.43100000000000005,2017-07-01
2017,AUG,-0.1,0.29666666666666663,0.30100000000000005,2017-08-01
2017,SEP,-0.4,0.02999999999999999,0.13300000000000003,2017-09-01
2017,OCT,-0.7,0.9866666666666667,0.11300000000000003,2017-10-01
2017,NOV,-0.8,1.3266666666666669,0.138,2017-11-01
2017,DEC,-1.0,2.4466666666666668,0.06600000000000002,2017-12-01
2018,JAN,-0.9,1.7266666666666668,0.04133333333333336,2018-01-01
2018,FEB,-0.9,1.236666666666667,-0.03499999999999997,2018-02-01
2018,MAR,-0.7,-0.22333333333333316,0.004000000000000031,2018-03-01
2018,APR,-0.5,-0.5599999999999998,-0.02699999999999997,2018-04-01
2018,MAY,-0.2,-1.0733333333333333,0.06466666666666669,2018-05-01
2018,JUN,0.0,-0.3366666666666665,0.11000000000000003,2018-06-01
2018,JUL,0.1,-0.5999999999999999,0.11000000000000003,2018-07-01
2018,AUG,0.2,0.5333333333333335,0.2596666666666667,2018-08-01
2018,SEP,0.5,1.2700000000000002,0.4703333333333333,2018-09-01
2018,OCT,0.8,2.476666666666667,0.5963333333333334,2018-10-01
2018,NOV,0.9,2.346666666666667,0.498,2018-11-01
2018,DEC,0.8,2.356666666666667,0.39866666666666667,2018-12-01
2019,JAN,0.7,0.786666666666667,0.3706666666666667,2019-01-01
2019,FEB,0.7,0.7966666666666669,0.3423333333333334,2019-02-01
2019,MAR,0.7,0.15333333333333357,0.29933333333333334,2019-03-01
2019,APR,0.7,0.7400000000000003,0.3403333333333333,2019-04-01
2019,MAY,0.5,0.9866666666666669,0.4673333333333334,2019-05-01
2019,JUN,0.5,-0.03333333333333307,0.5803333333333334,2019-06-01
2019,JUL,0.3,-0.6766666666666664,0.5459999999999999,2019-07-01
2019,AUG,0.1,-1.143333333333333,0.642,2019-08-01
2019,SEP,0.2,-1.0666666666666664,0.7643333333333334,2019-09-01
2019,OCT,0.3,-1.8599999999999997,0.8973333333333334,2019-10-01
2019,NOV,0.5,-2.7233333333333327,0.6806666666666666,2019-11-01
2019,DEC,0.5,-1.8766666666666663,0.417,2019-12-01
2020,JAN,0.5,-0.5233333333333331,0.15666666666666665,2020-01-01
2020,FEB,0.5,0.7533333333333335,0.082,2020-02-01
2020,MAR,0.4,-0.009999999999999712,0.020666666666666667,2020-03-01
2020,APR,0.2,0.4533333333333336,0.102,2020-04-01
2020,MAY,-0.1,0.16333333333333364,0.247,2020-05-01
2020,JUN,-0.3,0.4133333333333336,0.35733333333333334,2020-06-01
2020,JUL,-0.4,-0.6633333333333331,0.19699999999999998,2020-07-01
2020,AUG,-0.6,-1.1399999999999997,-0.017666666666666664,2020-08-01
