date,name,km,km/h,Points,Airfield,Club,Region of club,Aircraft
10/2/2022,Michael Durrant,289.61,88.99,261.46,Horsham,Geelong Gliding Club,AU-VIC,LS 8T 18m
10/2/2022,Serge Lauriou,291.36,93.04,258.13,Narromine,Bathurst Soaring Club,AU-NSW,DG 600 18m
10/2/2022,Mark Woodhart,224.51,84.77,257.69,Warkworth,Hunter Valley Gliding Club,AU-NSW,PIK-20 D
10/2/2022,John Orton,289.97,83.79,245.65,Horsham,Gliding Club of Victoria,AU-VIC,ASG 29 18m
10/2/2022,Hamid Nazari,265.2,85.97,232.09,Horsham,Geelong Gliding Club,AU-VIC,LS 6 18m
10/2/2022,Michael Maddocks,229.22,80.51,230.71,Boonah,Boonah Gliding Club,AU-QLD,Ventus 3M 18m
10/2/2022,Terry Cubley,269.74,77.95,230.15,Horsham,Gliding Club of Victoria,AU-VIC,Ventus 2cx 18m
10/2/2022,Adam Gough,183.39,78.14,225.7,Lake Keepit,Melbourne Gliding Club,AU-NSW,N/A
10/2/2022,Alf McMillan,232.49,54.92,225.49,Horsham,Geelong Gliding Club,AU-VIC,LS 4
10/2/2022,Ryan Driscoll ,260.4,90.78,214.6,Horsham,Gliding Club of Victoria,AU-VIC,Nimbus 3 25.5m
10/2/2022,Russell Edwards,212.21,74.41,199.61,Horsham,Gliding Club of Victoria,AU-VIC,LS 7 WL
10/2/2022,Jack Hart,190.93,79.02,175.5,Horsham,Bendigo Gliding Club,AU-VIC,Ventus b 15m
10/2/2022,Alf McMillan,5.99,126.11,6.13,Horsham,Geelong Gliding Club,AU-VIC,LS 4
9/2/2022,Jo Davis,546.48,104.17,597.1,Narromine,Darling Downs Soaring Club,AU-NSW,ASW 20
9/2/2022,Allan Barnes,382.9,97.31,407.92,Narromine,Lake Keepit Soaring Club,AU-NSW,LS 8
9/2/2022,Sean Young,373.24,97.56,391.76,Narromine,Bathurst Soaring Club,AU-NSW,ASW 20
9/2/2022,John Jurotte,322.65,91.21,383.22,Pipers Field,Bathurst Soaring Club,AU-NSW,Mosquito
9/2/2022,Mike Sabin,336.74,82.28,329.22,Boonah,Boonah Gliding Club,AU-QLD,Nimbus 3T 25.5m
9/2/2022,Hamid Nazari,333.08,98.73,291.8,Horsham,Geelong Gliding Club,AU-VIC,LS 6 18m
9/2/2022,Richard Frawley,260.46,98.29,286.17,Narromine,Narromine Gliding Club,AU-NSW,Duo Discus
9/2/2022,Andrzej Wroblewski,289.51,72.78,284.45,Horsham,Geelong Gliding Club,AU-VIC,LS 4
9/2/2022,Shawn Armitage,251.05,94.26,278.49,Narromine,Hunter Valley Gliding Club,AU-NSW,Discus b
9/2/2022,Gordon Trollip,304.37,90.95,278.1,Horsham,Bendigo Gliding Club,AU-VIC,LS 6
9/2/2022,John Orton,328.57,101.25,273.43,Horsham,Gliding Club of Victoria,AU-VIC,ASG 29 18m
9/2/2022,Neil Campbell,288.17,90.43,272.18,Horsham,Gliding Club of Victoria,AU-VIC,ASW 24
9/2/2022,Michael Durrant,298.72,86.09,266.04,Horsham,Geelong Gliding Club,AU-VIC,LS 8T 18m
9/2/2022,Russell Edwards,274.39,76.3,260.08,Horsham,Gliding Club of Victoria,AU-VIC,LS 7 WL
9/2/2022,Terry Cubley,303.45,88.11,259.98,Horsham,Gliding Club of Victoria,AU-VIC,Ventus 2cx 18m
9/2/2022,Jack Hart,281.33,83.69,259.21,Horsham,Bendigo Gliding Club,AU-VIC,Ventus b 15m
9/2/2022,Jaroslaw Mosiejewski,250.65,89.54,257.31,Horsham,Geelong Gliding Club,AU-VIC,PIK-20 B
9/2/2022,Matthew Atkinson,273.68,99.25,255,Narromine,Lake Keepit Soaring Club,AU-NSW,Duo Discus XL
9/2/2022,Christopher Thorpe,258.2,88.21,250.29,Horsham,Beaufort Gliding Club,AU-VIC,DG 500M 20m
9/2/2022,Peter Webster,190.62,69.03,249.92,Horsham,Beaufort Gliding Club,AU-VIC,G 103 Twin Astir RG
9/2/2022,Serge Lauriou,275.66,100.02,246.86,Narromine,Bathurst Soaring Club,AU-NSW,DG 600 18m
9/2/2022,Ryan Driscoll ,299.24,119.5,246.42,Horsham,Gliding Club of Victoria,AU-VIC,Nimbus 3 25.5m
9/2/2022,Dave Nugent,259.33,87.14,246.28,Horsham,Sunraysia Gliding Club,AU-VIC,LS 3
9/2/2022,Tim Shirley,259.87,88.95,245.88,Horsham,Gliding Club of Victoria,AU-VIC,ASW 28
9/2/2022,Matthew Atkinson,236.35,77.81,245.68,Narromine,Lake Keepit Soaring Club,AU-NSW,Duo Discus XL
9/2/2022,Richard Dowling,225.1,110.16,237.53,Narromine,Bathurst Soaring Club,AU-NSW,Hornet
9/2/2022,David Meredith,226.02,78.53,229.56,Horsham,Geelong Gliding Club,AU-VIC,SZD-48 Jantar Std. 2
9/2/2022,Garry Stevenson,236.13,78.36,220.96,Horsham,Gliding Club of Victoria,AU-VIC,Discus a WL
9/2/2022,Craig Dilks ,218.19,76.53,214.1,Horsham,Bendigo Gliding Club,AU-VIC,PIK-20 E
9/2/2022,Alf McMillan,212.3,76.51,209.97,Horsham,Geelong Gliding Club,AU-VIC,LS 4
9/2/2022,Graham Adams ,227.58,71.6,208.65,Horsham,Gliding Club of Victoria,AU-VIC,Ventus bT 15m
9/2/2022,Stewart Hamey,166.35,47.55,179.3,Boonah,Boonah Gliding Club,AU-QLD,Ventus a 15m
9/2/2022,Richard Frawley,163.01,76.64,174.33,Narromine,Narromine Gliding Club,AU-NSW,Duo Discus
9/2/2022,Jeremy Thompson,116.81,44.91,132.02,Boonah,Boonah Gliding Club,AU-QLD,Std. Libelle
9/2/2022,Greg Hammond,139.22,85.06,131.94,Horsham,N/A,AU-VIC,ASW 28
9/2/2022,Adam Gough,107.29,80.3,121.43,Lake Keepit,Melbourne Gliding Club,AU-NSW,Discus 2b
8/2/2022,Grant Heaney,618.47,101.55,778.96,Tocumwal,SportAviation Tocumwal,AU-NSW,SZD-48 Jantar Std. 2
8/2/2022,Tim Shirley,559.08,112.15,660.53,Horsham,Gliding Club of Victoria,AU-VIC,ASW 28
8/2/2022,Jack Hart,563.32,128.03,651.63,Horsham,Bendigo Gliding Club,AU-VIC,Ventus b 15m
8/2/2022,Chris Hostettler,579.63,104.77,641.68,Tocumwal,SportAviation Tocumwal,AU-NSW,ASW 27
8/2/2022,Mark Bland,452.46,83.94,634.24,Benalla,Gliding Club of Victoria,AU-VIC,ASK 21 Mi
8/2/2022,Russell Edwards,538,94.99,632.41,Horsham,Gliding Club of Victoria,AU-VIC,LS 7 WL
8/2/2022,Hamid Nazari,578.78,114.24,627.74,Horsham,Geelong Gliding Club,AU-VIC,LS 6 18m
8/2/2022,Terry Bellair,636.98,94.84,619.89,Raywood,Bendigo Gliding Club,AU-VIC,DG 400 17m
8/2/2022,David Meredith,445.21,95.33,563.17,Horsham,Geelong Gliding Club,AU-VIC,SZD-48 Jantar Std. 2
8/2/2022,Andrzej Wroblewski,453.25,91.5,549.15,Horsham,Geelong Gliding Club,AU-VIC,LS 4
8/2/2022,Alf McMillan,451.64,87.18,549.13,Horsham,Geelong Gliding Club,AU-VIC,LS 4
8/2/2022,Jo Davis,521.17,111.1,544.87,Narromine,Darling Downs Soaring Club,AU-NSW,ASW 20
8/2/2022,Craig Dilks ,560.74,98.95,541.32,Horsham,Bendigo Gliding Club,AU-VIC,PIK-20 E
8/2/2022,Garry Stevenson,456.9,81.54,533.77,Horsham,Gliding Club of Victoria,AU-VIC,Discus a WL
8/2/2022,Neil Campbell,565.68,109.47,530.33,Horsham,Gliding Club of Victoria,AU-VIC,ASW 24
8/2/2022,Dave Nugent,559.26,114.65,525.02,Horsham,Sunraysia Gliding Club,AU-VIC,LS 3
8/2/2022,Gordon Trollip,565.54,112.05,514.12,Horsham,Bendigo Gliding Club,AU-VIC,LS 6
8/2/2022,Michael Durrant,578.52,116.66,513.91,Horsham,Geelong Gliding Club,AU-VIC,LS 8T 18m
8/2/2022,Christopher Thorpe,507.64,82.57,494.79,Horsham,Beaufort Gliding Club,AU-VIC,DG 500M 20m
8/2/2022,John Orton,472.74,116.71,493.73,Horsham,Gliding Club of Victoria,AU-VIC,ASG 29 18m
8/2/2022,Scott Lennon,461.22,114.95,490.12,Temora,Temora Gliding Club,AU-NSW,DG 600M 18m
8/2/2022,Terry Cubley,578.87,120.4,487.27,Horsham,Gliding Club of Victoria,AU-VIC,Ventus 2cx 18m
8/2/2022,Peter Webster,454.03,89.24,484.77,Horsham,Beaufort Gliding Club,AU-VIC,G 103 Twin Astir RG
8/2/2022,Peter Buskens,463.11,120.32,482.17,Horsham,Beaufort Gliding Club,AU-VIC,JS1 TJ 18m
8/2/2022,Charles Day,439.88,89.11,479.27,Benalla,Gliding Club of Victoria,AU-VIC,Kestrel 17m
8/2/2022,Stephen Jinks,507.95,108.25,476.24,Horsham,Bendigo Gliding Club,AU-VIC,Mosquito
8/2/2022,David Thomas,453.68,100.47,449.2,Horsham,Geelong Gliding Club,AU-VIC,Janus 18.2m
8/2/2022,Jaroslaw Mosiejewski,453.1,95.82,447.49,Horsham,Geelong Gliding Club,AU-VIC,PIK-20 B
8/2/2022,Greg Hammond,473.62,98.84,440.39,Horsham,N/A,AU-VIC,ASW 28
8/2/2022,Ryan Driscoll ,521.44,133.43,428.34,Horsham,Gliding Club of Victoria,AU-VIC,Nimbus 3 25.5m
8/2/2022,Graham Adams ,327.88,94.82,377.49,Horsham,Gliding Club of Victoria,AU-VIC,Ventus bT 15m
8/2/2022,Allan Barnes,278.35,89.45,306.75,Narromine,Lake Keepit Soaring Club,AU-NSW,LS 8
8/2/2022,Shawn Armitage,231.06,86.64,259.85,Narromine,Hunter Valley Gliding Club,AU-NSW,Discus b
8/2/2022,Richard Frawley,232.34,84.86,229.28,Narromine,Narromine Gliding Club,AU-NSW,Duo Discus
8/2/2022,Rohan Ford,192.88,88.39,222.16,Benalla,N/A,AU-VIC,LS 3a
8/2/2022,Sean Young,240.96,116.7,220.15,Narromine,Bathurst Soaring Club,AU-NSW,ASW 20
8/2/2022,Matthew Atkinson,242.36,106.86,215.67,Narromine,Lake Keepit Soaring Club,AU-NSW,Duo Discus XL
8/2/2022,Matthew Atkinson,237.25,99.46,214.01,Narromine,Lake Keepit Soaring Club,AU-NSW,Duo Discus XL
8/2/2022,Peter Brew,178.7,71.09,209.17,Narromine,Southern Cross Gliding Club,AU-NSW,LS 4
8/2/2022,David Meredith,205.19,77.94,207.22,Horsham,Geelong Gliding Club,AU-VIC,SZD-48 Jantar Std. 2
8/2/2022,Niall Doherty,238.58,121.52,201.63,Narromine,Southern Cross Gliding Club,AU-NSW,LS 10-st 18m
8/2/2022,Adam Gough,108,44.61,127.28,Lake Keepit,Melbourne Gliding Club,AU-NSW,N/A
7/2/2022,Christopher Thorpe,590.79,85.21,700.99,Horsham,Beaufort Gliding Club,AU-VIC,DG 500M 20m
7/2/2022,Tim Shirley,576.69,91.62,675.41,Horsham,Gliding Club of Victoria,AU-VIC,ASW 28
7/2/2022,Dave Nugent,580.5,93.55,673.8,Horsham,Sunraysia Gliding Club,AU-VIC,LS 3
7/2/2022,Jack Hart,585.09,88.96,669.3,Horsham,Bendigo Gliding Club,AU-VIC,Ventus b 15m
7/2/2022,Gordon Trollip,583.99,96.02,664.41,Horsham,Bendigo Gliding Club,AU-VIC,LS 6
7/2/2022,Michael Durrant,586.63,107.83,652.43,Horsham,Geelong Gliding Club,AU-VIC,LS 8T 18m
7/2/2022,David Pietsch,621.64,124.18,638.09,Waikerie,Waikerie Gliding Club,AU-SA,JS1 TJ 18m
7/2/2022,Hamid Nazari,579.73,101.89,627.21,Horsham,Geelong Gliding Club,AU-VIC,LS 6 18m
7/2/2022,Terry Cubley,586.09,104.49,616.39,Horsham,Gliding Club of Victoria,AU-VIC,Ventus 2cx 18m
7/2/2022,John Orton,585.1,103.73,609.04,Horsham,Gliding Club of Victoria,AU-VIC,ASG 29 18m
7/2/2022,Ryan Driscoll ,549.17,116.92,575.97,Horsham,Gliding Club of Victoria,AU-VIC,Nimbus 3 25.5m
7/2/2022,Craig Dilks ,455.66,88.27,548.13,Horsham,Bendigo Gliding Club,AU-VIC,PIK-20 E
7/2/2022,Geoff Wood,373.42,72.78,543.1,Gawler,Adelaide Soaring Club,AU-SA,Pilatus B4 RG
7/2/2022,Peter Webster,400.36,61.57,538.99,Horsham,Beaufort Gliding Club,AU-VIC,G 103 Twin Astir RG
7/2/2022,Craig Vinall,469.15,93.63,532.36,Waikerie,Waikerie Gliding Club,AU-SA,Discus b
7/2/2022,Neil Campbell,532.85,78.67,501.97,Horsham,Gliding Club of Victoria,AU-VIC,ASW 24
7/2/2022,Russell Edwards,402.89,71.76,471.58,Horsham,Gliding Club of Victoria,AU-VIC,LS 7 WL
7/2/2022,Rodney van den Brink,376.47,70.38,450.94,Waikerie,Waikerie Gliding Club,AU-SA,G 102 Astir CS
7/2/2022,Daniel Summers,354.49,87.41,406.43,Benalla,Gliding Club of Victoria,AU-VIC,LS 3a
7/2/2022,David Meredith,397.55,88.69,399.7,Horsham,Geelong Gliding Club,AU-VIC,SZD-41 Jantar Std.
7/2/2022,David Meredith,397.45,88.72,399.55,Horsham,Geelong Gliding Club,AU-VIC,SZD-48 Jantar Std. 2
7/2/2022,Graham Adams ,341.6,78.35,398.21,Horsham,Gliding Club of Victoria,AU-VIC,Ventus bT 15m
7/2/2022,Jaroslaw Mosiejewski,403.83,85.02,398.04,Horsham,Geelong Gliding Club,AU-VIC,PIK-20 B
7/2/2022,Alf McMillan,404.58,71.85,392.18,Horsham,Geelong Gliding Club,AU-VIC,LS 4
7/2/2022,David Thomas,397.17,84.05,390.95,Horsham,Geelong Gliding Club,AU-VIC,Janus 18.2m
7/2/2022,Andrzej Wroblewski,397.17,68.73,388.08,Horsham,Geelong Gliding Club,AU-VIC,LS 4
7/2/2022,Stephen Jinks,398.08,90.54,376.85,Horsham,Bendigo Gliding Club,AU-VIC,Mosquito
7/2/2022,Greg Hammond,344.3,86.06,370.84,Horsham,N/A,AU-VIC,ASW 28
7/2/2022,Sean Young,339.87,85.53,365.44,Narromine,Bathurst Soaring Club,AU-NSW,ASW 20
7/2/2022,Jennefer Goldsmith,229.92,47.12,328.47,Horsham,Geelong Gliding Club,AU-VIC,Ka 6 E
7/2/2022,Peter Cesco,300.05,93.12,291.76,Gawler,Adelaide Soaring Club,AU-SA,Nimbus 4DM
7/2/2022,Charles Day,268.73,68.07,279.84,Benalla,Gliding Club of Victoria,AU-VIC,Kestrel 17m
7/2/2022,Richard Frawley,210.01,92.79,234.82,Narromine,Narromine Gliding Club,AU-NSW,Duo Discus
7/2/2022,Matthew Atkinson,214.31,94.62,231.58,Narromine,Lake Keepit Soaring Club,AU-NSW,Duo Discus
7/2/2022,Brian Rau,229.83,115.98,221.71,Gawler,Adelaide Soaring Club,AU-SA,Arcus M
7/2/2022,Paul Knight,179.46,69.09,212.46347,Narromine,Bathurst Soaring Club,AU-NSW,LS 4
7/2/2022,Peter Brew,172.66,87.82,208.02,Narromine,Southern Cross Gliding Club,AU-NSW,LS 4
7/2/2022,Serge Lauriou,184.57,84.33,197.22,Narromine,Bathurst Soaring Club,AU-NSW,DG 600 18m
7/2/2022,Brian Rau,153.73,97.64,153.76,Gawler,Adelaide Soaring Club,AU-SA,Arcus M
7/2/2022,Richard Frawley,117.92,68.43,125.02,Narromine,Narromine Gliding Club,AU-NSW,Duo Discus
7/2/2022,Matthew Atkinson,136.04,96.92,122.84,Narromine,Lake Keepit Soaring Club,AU-NSW,Duo Discus
7/2/2022,Rohan Ford,104.07,84.42,103.73,Benalla,N/A,AU-VIC,LS 4
7/2/2022,Matthew Atkinson,26.96,79.36,24.9,Narromine,Lake Keepit Soaring Club,AU-NSW,Duo Discus
6/2/2022,Pete Temple,1031.69,119.34,1103.41,Gawler,Adelaide Soaring Club,AU-SA,ASG 29 18m
6/2/2022,Terry Bellair,712.77,89.02,778.04,Raywood,Bendigo Gliding Club,AU-VIC,DG 400 17m
6/2/2022,Tobias Geiger,667.32,118.3,746.04,Benalla,Gliding Club of Victoria,AU-VIC,Ventus 2ax
6/2/2022,Daniel Summers,592.28,97.77,699.4,Benalla,Gliding Club of Victoria,AU-VIC,LS 3a
6/2/2022,Brian Rau,637.12,109.83,638.51,Gawler,Adelaide Soaring Club,AU-SA,Arcus M
6/2/2022,Tommy Kalsbeek ,495.21,85.29,601.03,Gawler,Adelaide Soaring Club,AU-SA,Std. Libelle
6/2/2022,Heath LEstrange,520.61,84.88,596.2,Stonefield,Adelaide University Gliding Club,AU-SA,Std. Libelle
6/2/2022,Charles Day,537.29,101.38,589.11,Benalla,Gliding Club of Victoria,AU-VIC,Kestrel 17m
6/2/2022,Christopher Thorpe,456.31,91.1,553.48,Horsham,Beaufort Gliding Club,AU-VIC,DG 500M 20m
6/2/2022,Grant Heaney,448.12,81.35,540.34,Tocumwal,SportAviation Tocumwal,AU-NSW,SZD-48 Jantar Std. 2
6/2/2022,Michael Durrant,451.76,110.11,499.58,Horsham,Geelong Gliding Club,AU-VIC,LS 8T 18m
6/2/2022,Hamid Nazari,450.95,99.01,482.75,Horsham,Geelong Gliding Club,AU-VIC,LS 6 18m
6/2/2022,Mark Bland,344.92,74.53,482.71,Benalla,Gliding Club of Victoria,AU-VIC,ASK 21 Mi
6/2/2022,Brenton Swart,429.67,104.6,477.67,Gawler,Adelaide Soaring Club,AU-SA,LS 3
6/2/2022,Terry Cubley,454.23,113.02,471.4,Horsham,Gliding Club of Victoria,AU-VIC,Ventus 2cx 18m
6/2/2022,John Orton,453.1,118.75,466.99,Horsham,Gliding Club of Victoria,AU-VIC,ASG 29 18m
6/2/2022,David Pietsch,454.89,119.6,463.7,Waikerie,Waikerie Gliding Club,AU-SA,JS1 TJ 18m
6/2/2022,Ryan Driscoll ,413.55,132.69,431.49,Horsham,Gliding Club of Victoria,AU-VIC,Nimbus 3 25.5m
6/2/2022,Jennefer Goldsmith,305.56,62.56,416.63,Horsham,Geelong Gliding Club,AU-VIC,Ka 6 E
6/2/2022,Leigh Stokes,371.5,62.5,415.79,Stonefield,Adelaide University Gliding Club,AU-SA,ASW 20
6/2/2022,Andrew Prater,336.23,85.69,407.52,Ararat,Grampians Soaring Club,AU-VIC,Janus C FG
6/2/2022,Oliver Barthelmes,306.95,65.54,387.65,Benalla,N/A,AU-VIC,Club Libelle
6/2/2022,Phil Organ ,347.36,91.97,386.65,Raywood,Bendigo Gliding Club,AU-VIC,SZD-55-1 Nexus
6/2/2022,Craig Dilks ,326.58,98.63,379.09,Horsham,Bendigo Gliding Club,AU-VIC,PIK-20 E
6/2/2022,Ruben Rubio ,361.3,66.33,375.43,Gawler,Adelaide Soaring Club,AU-SA,LS 8 18m
6/2/2022,Rodney van den Brink,330.58,81.87,375.3,Waikerie,Waikerie Gliding Club,AU-SA,G 102 Astir CS
6/2/2022,Peter Webster,281.7,75.9,372.52,Horsham,Beaufort Gliding Club,AU-VIC,G 103 Twin Astir RG
6/2/2022,Tim Shirley,330.44,97.45,371.68,Horsham,Gliding Club of Victoria,AU-VIC,ASW 28
6/2/2022,Neil Campbell,326,80.22,368.15,Horsham,Gliding Club of Victoria,AU-VIC,ASW 24
6/2/2022,Jack Hart,323.42,119.16,365.86,Horsham,Bendigo Gliding Club,AU-VIC,Ventus b 15m
6/2/2022,Dave Nugent,324.36,99.97,365.17,Horsham,Sunraysia Gliding Club,AU-VIC,LS 3
6/2/2022,Stephen Jinks,320.37,92.08,354.25,Horsham,Bendigo Gliding Club,AU-VIC,Mosquito
6/2/2022,Gordon Trollip,319.4,111.25,347.07,Horsham,Bendigo Gliding Club,AU-VIC,LS 6
6/2/2022,Sid Nankivell,304.7,92.26,338.33,Stonefield,Waikerie Gliding Club,AU-SA,LS 3
6/2/2022,Craig Vinall,349,99.3,336.6,Waikerie,Waikerie Gliding Club,AU-SA,Discus b
6/2/2022,Andy Benton,279.21,86.49,332.78,Horsham,Bendigo Gliding Club,AU-VIC,Janus 18.2m
6/2/2022,David Thomas,277.82,95.91,330.51,Horsham,Geelong Gliding Club,AU-VIC,Janus 18.2m
6/2/2022,Jaroslaw Mosiejewski,279.64,90.74,329.4,Horsham,Geelong Gliding Club,AU-VIC,PIK-20 B
6/2/2022,David Meredith,270.58,95.61,327.61,Horsham,Geelong Gliding Club,AU-VIC,SZD-41 Jantar Std.
6/2/2022,David Meredith,270.47,95.69,327.45,Horsham,Geelong Gliding Club,AU-VIC,SZD-48 Jantar Std. 2
6/2/2022,Alf McMillan,278.43,67.35,322.4,Horsham,Geelong Gliding Club,AU-VIC,LS 4
6/2/2022,Andrzej Wroblewski,276.9,90.87,320.92,Horsham,Geelong Gliding Club,AU-VIC,LS 4
6/2/2022,Garry Stevenson,273.15,86.39,308.69,Horsham,Gliding Club of Victoria,AU-VIC,Discus bT
6/2/2022,Colin Campbell,231.28,83.76,293.13,Raywood,Bendigo Gliding Club,AU-VIC,Std. Libelle
6/2/2022,Mark Goodley,311.48,108.71,284.56,Benalla,Gliding Club of Victoria,AU-VIC,ASW 20
6/2/2022,Mark Simpson,206.11,67.34,278.87,Benalla,N/A,AU-VIC,Silent 2
6/2/2022,John Spronk,244.41,71.42,278.45575,Waikerie,Waikerie Gliding Club,AU-SA,LS 4
6/2/2022,Nathan Johnson,265.08,87.04,267.78,Tocumwal,Temora Gliding Club,AU-NSW,Std. Cirrus WL
6/2/2022,Russell Edwards,280.92,79.71,264.56,Horsham,Gliding Club of Victoria,AU-VIC,LS 7 WL
6/2/2022,Scott Lennon,281.69,90.71,244.12,Tocumwal,Temora Gliding Club,AU-NSW,DG 600M 18m
6/2/2022,Grant Johnson,272.19,92.41,227.33,Tocumwal,Temora Gliding Club,AU-NSW,ASG 29 E 18m
6/2/2022,Matthew Dunstan,146.2,45.56,168.62,McCaffery Field,Darling Downs Soaring Club,AU-QLD,SZD-41 Jantar Std.
6/2/2022,Heinz de Chelard,141.62,79.41,163.05,Ararat,Grampians Soaring Club,AU-VIC,Cirrus
6/2/2022,Sam Woods,166.59,83.41,160.19,Stonefield,Adelaide University Gliding Club,AU-SA,Janus C FG
6/2/2022,Finlay Bunt,136.33,62.34,149.27,Gawler,Adelaide Soaring Club,AU-SA,Discus b
6/2/2022,Marc Hugelshofer,134.92,69.82,148.77,Bacchus Marsh,Melbourne Gliding Club,AU-VIC,Mosquito
6/2/2022,Andrew Georgeson,143.31,77.89,139.28,Kingaroy,Kingaroy Soaring Club,AU-QLD,Nimbus 4DM
6/2/2022,Sam Woods,94.69,51.73,100.12,Gawler,Adelaide University Gliding Club,AU-SA,Janus 18.2m
6/2/2022,Adam Mechler,89.83,24.84,94.58,Bacchus Marsh,Geelong Gliding Club,AU-VIC,DG 300
6/2/2022,Alan Wilson,51.32,55.6,58.36,Bunyan,N/A,AU-NSW,DG 300
6/2/2022,Greg Hammond,27.2,92.2,26.68,Horsham,N/A,AU-VIC,ASW 28
6/2/2022,John Spronk,8.11,104.27,8.897116,Waikerie,Waikerie Gliding Club,AU-SA,LS 4
5/2/2022,Tobias Geiger,794.44,115.38,894.89,Benalla,Gliding Club of Victoria,AU-VIC,Ventus 2ax
5/2/2022,Daryl Mackay,756.11,93.74,859.54,Beverley,Beverley Soaring Society,AU-WA,ASW 20
5/2/2022,Norm Bloch,762.44,143.1,810.9,Beverley,Beverley Soaring Society,AU-WA,JS3 TJ 18m
5/2/2022,Brink van Schalkwyk,770.37,119.27,795.97,Balaklava,Balaklava Gliding Club,AU-SA,ASH 31 Mi 21m
5/2/2022,Ben Terrell,744.69,118.67,795.34,Beverley,Beverley Soaring Society,AU-WA,Ventus b 15m
5/2/2022,Simon Marko,540.49,79.37,725.36,Beverley,Beverley Soaring Society,AU-WA,G 102 Astir CS
5/2/2022,John Welsh,561.3,85.62,715.12,Beverley,Beverley Soaring Society,AU-WA,Hornet
5/2/2022,Daniel Summers,561.95,102.75,675.02,Benalla,Gliding Club of Victoria,AU-VIC,LS 3a
5/2/2022,Kim Taylor,601.71,112.88,626.35,Beverley,Beverley Soaring Society,AU-WA,JS3 TJ 18m
5/2/2022,Robert Duffy,589.41,110.99,625.01,Beverley,Beverley Soaring Society,AU-WA,ASG 29 18m
5/2/2022,Henry Egan,558.85,76.17,613.62,Narrogin,Narrogin Gliding Club,AU-WA,Discus b
5/2/2022,Richard Traill,556.3,101.95,602.23,Bacchus Marsh,Melbourne Gliding Club,AU-VIC,Duo Discus T
5/2/2022,Mark Bland,465.9,82.07,594.39,Benalla,Gliding Club of Victoria,AU-VIC,ASK 21 Mi
5/2/2022,Rod Loder,552.33,102.8,588.93,Cunderdin,Gliding Club of Western Australia,AU-WA,Ventus 2 cxa
5/2/2022,Oliver Barthelmes,440.99,79.12,581.75,Benalla,N/A,AU-VIC,Club Libelle
5/2/2022,Tim Wilson,698.06,110.13,578.18,Benalla,Gliding Club of Victoria,AU-VIC,ASG 29 18m
5/2/2022,Chris Runeckles,529.2,112.2,571.17,Cunderdin,Gliding Club of Western Australia,AU-WA,Ventus 2cx 18m
5/2/2022,Chris Hostettler,503.17,100.06,534.97,Tocumwal,SportAviation Tocumwal,AU-NSW,ASW 27
5/2/2022,Brian Rau,514.63,107.64,523.32,Gawler,Adelaide Soaring Club,AU-SA,Arcus M
5/2/2022,Paul Dealy,546.11,74.66,500.42,Benalla,Gliding Club of Victoria,AU-VIC,ASW 20
5/2/2022,David Meredith,398.6,86.87,493.43,Horsham,Geelong Gliding Club,AU-VIC,SZD-41 Jantar Std.
5/2/2022,Charles Day,463.64,96.37,493.16,Benalla,Gliding Club of Victoria,AU-VIC,Kestrel 17m
5/2/2022,Steve Pearson,504.37,112.55,486.28,Beverley,Beverley Soaring Society,AU-WA,LS 4
5/2/2022,Nathan Johnson,433.68,102.46,474.16,Temora,Temora Gliding Club,AU-NSW,Std. Cirrus WL
5/2/2022,Tommy Kalsbeek ,361.14,85.35,468.63,Gawler,Adelaide Soaring Club,AU-SA,Std. Libelle
5/2/2022,Tim Shirley,384.28,101.65,456.36,Horsham,Gliding Club of Victoria,AU-VIC,ASW 28
5/2/2022,Sidney Dewey,513.68,117.88,452.3,Beverley,Beverley Soaring Society,AU-WA,Ventus 2b
5/2/2022,Michael Durrant,392.95,123.06,443.82,Horsham,Geelong Gliding Club,AU-VIC,LS 8T 18m
5/2/2022,Jack Hart,376.17,114.8,440.02,Horsham,Bendigo Gliding Club,AU-VIC,Ventus b 15m
5/2/2022,Richard Atkinson,365.28,84.44,439.63,Gawler,Adelaide Soaring Club,AU-SA,LS 4
5/2/2022,Andrew King,499.68,117.07,439.47,Beverley,Beverley Soaring Society,AU-WA,LAK-12
5/2/2022,Gordon Trollip,379.68,102.45,438.99,Horsham,Bendigo Gliding Club,AU-VIC,LS 6
5/2/2022,Hamid Nazari,397.97,102.86,433.43,Horsham,Geelong Gliding Club,AU-VIC,LS 6 18m
5/2/2022,David Thomas,435.94,104.42,430.45,Horsham,Geelong Gliding Club,AU-VIC,Janus 18.2m
5/2/2022,James Cooper,529.58,118.63,425.19,Cunderdin,Gliding Club of Western Australia,AU-WA,ASH 31 Mi 21m
5/2/2022,Jaroslaw Mosiejewski,421.98,101.95,415.49,Horsham,Geelong Gliding Club,AU-VIC,PIK-20 B
5/2/2022,John Orton,391.95,127.03,413.49,Horsham,Gliding Club of Victoria,AU-VIC,ASG 29 18m
5/2/2022,John Grant,346.25,63.36,403.7,Narrogin,Narrogin Gliding Club,AU-WA,G 102 Astir CS 77
5/2/2022,David Meredith,394.96,87.79,398.21,Horsham,Geelong Gliding Club,AU-VIC,SZD-48 Jantar Std. 2
5/2/2022,Andrew Prater,325.42,77.96,397.03,Ararat,Grampians Soaring Club,AU-VIC,Janus C FG
